Unnamed: 0,checking_balance,months_loan_duration,credit_history,amount,savings_balance,installment_rate,personal_status,other_debtors,property,age,installment_plan,housing,existing_credits,default,dependents,foreign_worker,job,gender,residence_history_months,employment_length_months,telephone_flag,purpose_grouped,employment_stable,employment_risk,residence_stable,residence_risk,stability_score
35,59.0,45,critical,4746,63.0,4,single,none,building society savings,25,none,own,2,1,1,yes,unskilled resident,male,6,6,0,radio/tv,0,0,0,0,6.0
36,0.0,48,critical,6110,41.0,1,single,none,other,31,bank,for free,1,0,1,yes,skilled employee,male,24,30,1,education,1,0,1,0,27.6
37,884.0,18,repaid,2100,4.0,4,single,co-applicant,real estate,37,stores,own,1,1,1,yes,skilled employee,male,6,30,0,radio/tv,1,0,0,0,20.4
38,646.0,10,repaid,1225,42.0,2,single,none,other,37,none,own,1,0,1,yes,skilled employee,male,6,30,1,others,1,0,0,0,20.4
39,128.0,9,repaid,458,41.0,4,single,none,real estate,24,none,own,1,0,1,yes,skilled employee,male,24,30,0,radio/tv,1,0,1,0,27.6
40,0.0,30,repaid,2333,957.0,4,single,none,other,30,bank,own,1,0,1,yes,mangement self-employed,male,6,120,0,radio/tv,1,0,0,0,74.4
41,162.0,12,repaid,1158,641.0,3,divorced,none,other,26,none,own,1,0,1,yes,skilled employee,male,6,30,1,radio/tv,1,0,0,0,20.4
42,126.0,18,delayed,6204,90.0,2,single,none,real estate,44,none,own,1,0,2,yes,unskilled resident,male,96,30,1,repairs,1,0,1,0,56.400000000000006
43,-19.0,30,critical,6187,118.0,1,married,none,other,24,none,rent,2,0,1,yes,skilled employee,male,96,66,0,car (used),1,0,1,0,78.0
44,-1.0,48,critical,6143,12.0,4,single,none,other,58,stores,for free,2,1,1,yes,unskilled resident,female,96,120,0,car (used),1,0,1,0,110.4
45,0.0,11,critical,1393,75.0,4,single,none,other,35,none,own,2,0,1,yes,mangement self-employed,female,60,6,0,car (new),0,0,1,0,27.6
46,0.0,36,repaid,2299,880.0,4,single,none,other,39,none,own,1,0,1,yes,skilled employee,male,96,120,0,radio/tv,1,0,1,0,110.4
47,-8.0,6,repaid,1352,879.0,1,single,none,building society savings,23,none,rent,1,0,1,yes,unemployed non-resident,female,6,0,1,car (used),0,1,0,0,2.4000000000000004
48,0.0,11,critical,7228,99.0,1,single,none,building society savings,39,none,own,2,0,1,yes,unskilled resident,male,96,30,0,car (new),1,0,1,0,56.400000000000006
49,0.0,12,repaid,2073,308.0,4,single,co-applicant,real estate,28,none,own,1,0,1,yes,skilled employee,female,6,30,0,radio/tv,1,0,0,0,20.4
50,14.0,24,delayed,2333,0.0,4,single,none,building society savings,29,bank,own,1,0,1,yes,unskilled resident,male,6,6,0,furniture,0,0,0,0,6.0
51,39.0,27,delayed,5965,78.0,1,single,none,other,30,none,own,2,0,1,yes,mangement self-employed,male,6,120,1,car (used),1,0,0,0,74.4
52,0.0,12,repaid,1262,50.0,3,single,none,other,25,none,own,1,0,1,yes,skilled employee,male,6,30,0,radio/tv,1,0,0,0,20.4
53,0.0,18,repaid,3378,0.0,2,single,none,building society savings,31,none,own,1,0,1,yes,skilled employee,male,6,30,1,car (used),1,0,0,0,20.4
54,73.0,36,delayed,2225,31.0,4,single,none,other,57,bank,for free,2,1,1,yes,skilled employee,male,96,120,1,car (new),1,0,1,0,110.4
55,0.0,6,fully repaid this bank,783,0.0,1,single,guarantor,real estate,26,stores,own,1,0,2,yes,unskilled resident,male,6,30,0,car (new),1,0,0,0,20.4
56,3.0,12,repaid,6468,0.0,2,single,none,other,52,none,own,1,1,1,yes,mangement self-employed,male,6,0,1,radio/tv,0,1,0,0,2.4000000000000004
57,0.0,36,critical,9566,81.0,2,single,none,other,31,stores,own,2,0,1,yes,skilled employee,female,6,30,0,radio/tv,1,0,0,0,20.4
58,873.0,18,repaid,1961,35.0,3,single,none,other,23,none,own,1,0,1,yes,mangement self-employed,female,6,120,0,car (new),1,0,0,0,74.4
59,-50.0,36,critical,6229,30.0,4,single,co-applicant,other,23,none,rent,2,1,1,yes,unskilled resident,female,96,6,1,furniture,0,0,1,0,42.00000000000001
60,103.0,9,repaid,1391,37.0,2,married,none,real estate,27,bank,own,1,0,1,yes,skilled employee,male,6,30,1,business,1,0,0,0,20.4
61,184.0,15,critical,1537,0.0,4,single,guarantor,real estate,50,none,own,2,0,1,yes,skilled employee,male,96,120,1,radio/tv,1,0,1,0,110.4
62,155.0,36,fully repaid,1953,73.0,4,single,none,other,61,none,for free,1,1,1,yes,mangement self-employed,male,60,120,1,business,1,0,1,0,96.0
63,69.0,48,fully repaid,14421,82.0,2,single,none,other,25,none,own,1,1,1,yes,skilled employee,male,6,30,1,business,1,0,0,0,20.4
64,0.0,24,repaid,3181,16.0,4,single,none,building society savings,26,none,own,1,0,1,yes,skilled employee,female,96,6,1,radio/tv,0,0,1,0,42.00000000000001
65,0.0,27,repaid,5190,0.0,4,single,none,building society savings,48,none,own,4,0,2,yes,skilled employee,male,96,120,1,repairs,1,0,1,0,110.4
66,0.0,12,repaid,2171,82.0,2,single,none,other,29,bank,own,1,0,1,yes,skilled employee,female,6,6,0,radio/tv,0,0,0,0,6.0
67,73.0,12,repaid,1007,4865.0,4,married,none,real estate,22,none,own,1,0,1,yes,skilled employee,male,6,30,0,car (new),1,0,0,0,20.4
68,0.0,36,repaid,1819,89.0,4,single,none,other,37,stores,for free,1,1,1,yes,skilled employee,male,96,30,1,education,1,0,1,0,56.400000000000006
69,0.0,36,repaid,2394,0.0,4,single,none,other,25,none,own,1,0,1,yes,skilled employee,female,96,30,0,radio/tv,1,0,1,0,56.400000000000006
70,0.0,36,repaid,8133,54.0,1,single,none,building society savings,30,bank,own,1,0,1,yes,skilled employee,female,6,30,0,car (used),1,0,0,0,20.4
71,0.0,7,critical,730,0.0,4,single,none,building society savings,46,none,rent,2,0,1,yes,unskilled resident,male,6,120,1,radio/tv,1,0,0,0,74.4
72,-15.0,8,critical,1164,98.0,3,single,none,other,51,bank,for free,2,0,2,yes,mangement self-employed,male,96,120,1,others,1,0,1,0,110.4
73,176.0,42,critical,5954,13.0,2,single,none,real estate,41,bank,own,2,0,1,yes,unskilled resident,female,6,30,0,business,1,0,0,0,20.4
74,-31.0,36,repaid,1977,0.0,4,single,none,other,40,none,own,1,1,1,yes,mangement self-employed,male,96,66,1,education,1,0,1,0,78.0
75,-17.0,12,critical,1526,7.0,4,single,none,other,66,none,for free,2,0,1,yes,mangement self-employed,male,96,120,0,car (used),1,0,1,0,110.4
76,-16.0,42,repaid,3965,38.0,4,single,none,other,34,none,own,1,1,1,yes,skilled employee,male,24,6,0,radio/tv,0,0,1,0,13.200000000000001
77,42.0,11,delayed,4771,54.0,2,single,none,building society savings,51,none,own,1,0,1,yes,skilled employee,male,96,30,0,radio/tv,1,0,1,0,56.400000000000006
78,0.0,54,fully repaid,9436,0.0,2,single,none,building society savings,39,none,own,1,0,2,yes,unskilled resident,male,6,30,0,car (used),1,0,0,0,20.4
79,146.0,30,repaid,3832,38.0,2,married,none,building society savings,22,none,own,1,0,1,yes,skilled employee,male,6,6,0,furniture,0,0,0,0,6.0
80,0.0,24,repaid,5943,0.0,1,single,none,other,44,none,own,2,1,1,yes,skilled employee,female,6,0,1,radio/tv,0,1,0,0,2.4000000000000004
81,0.0,15,repaid,1213,701.0,4,single,none,building society savings,47,stores,own,1,0,1,yes,skilled employee,male,24,120,1,radio/tv,1,0,1,0,81.6
82,0.0,18,repaid,1568,419.0,3,single,none,building society savings,24,none,rent,1,0,1,yes,unskilled resident,female,96,30,0,business,1,0,1,0,56.400000000000006
83,-13.0,24,repaid,1755,29.0,4,single,guarantor,real estate,58,none,own,1,0,1,yes,unskilled resident,female,96,120,1,others,1,0,1,0,110.4
84,-24.0,10,repaid,2315,77.0,3,single,none,real estate,52,none,own,1,0,1,yes,unskilled resident,male,96,120,0,radio/tv,1,0,1,0,110.4
85,0.0,12,critical,1412,93.0,4,single,guarantor,real estate,29,none,own,2,0,1,yes,mangement self-employed,female,6,30,1,business,1,0,0,0,20.4
86,29.0,18,critical,1295,80.0,4,single,none,building society savings,27,none,own,2,0,1,yes,skilled employee,female,6,6,0,furniture,0,0,0,0,6.0
87,55.0,36,repaid,12612,382.0,1,single,none,other,47,none,for free,1,1,2,yes,skilled employee,male,96,30,1,education,1,0,1,0,56.400000000000006
88,-48.0,18,repaid,2249,326.0,4,single,none,other,30,none,own,1,0,2,yes,mangement self-employed,male,24,30,1,car (new),1,0,1,0,27.6
89,-36.0,12,fully repaid,1108,55.0,4,single,none,real estate,28,none,own,2,1,1,yes,skilled employee,male,24,66,0,repairs,1,0,1,0,49.2
90,0.0,12,critical,618,35.0,4,single,none,real estate,56,none,own,1,0,1,yes,skilled employee,male,96,120,0,radio/tv,1,0,1,0,110.4
91,-12.0,12,critical,1409,11.0,4,single,none,real estate,54,none,own,1,0,1,yes,skilled employee,male,24,120,0,car (used),1,0,1,0,81.6
92,0.0,12,critical,797,0.0,4,single,none,building society savings,33,bank,own,1,1,2,yes,unskilled resident,female,60,120,0,radio/tv,1,0,1,0,96.0
93,587.0,24,critical,3617,0.0,4,single,co-applicant,other,20,none,rent,2,0,1,yes,skilled employee,male,96,120,0,furniture,1,0,1,0,110.4
94,153.0,12,repaid,1318,1836.0,4,single,none,real estate,54,none,own,1,0,1,yes,skilled employee,male,96,120,1,car (new),1,0,1,0,110.4
95,155.0,54,fully repaid,15945,88.0,3,single,none,other,58,none,rent,1,1,1,yes,skilled employee,male,96,6,1,business,0,0,1,0,42.00000000000001
96,0.0,12,critical,2012,0.0,4,single,none,other,61,none,own,1,0,1,yes,skilled employee,female,6,66,0,education,1,0,0,0,42.0
97,126.0,18,repaid,2622,120.0,4,single,none,other,34,none,own,1,0,1,yes,skilled employee,male,96,30,0,business,1,0,1,0,56.400000000000006
98,76.0,36,critical,2337,35.0,4,single,none,real estate,36,none,own,1,0,1,yes,skilled employee,male,96,120,0,radio/tv,1,0,1,0,110.4
99,152.0,20,delayed,7057,0.0,3,single,none,building society savings,36,bank,rent,2,0,2,yes,mangement self-employed,male,96,66,1,car (used),1,0,1,0,78.0
100,0.0,24,repaid,1469,355.0,4,married,none,real estate,41,none,rent,1,0,1,yes,unskilled resident,male,96,120,0,car (new),1,0,1,0,110.4
101,41.0,36,repaid,2323,44.0,4,single,none,other,24,none,rent,1,0,1,yes,skilled employee,male,96,66,0,radio/tv,1,0,1,0,78.0
102,0.0,6,delayed,932,84.0,3,single,none,real estate,24,none,own,1,0,1,yes,skilled employee,female,6,30,0,radio/tv,1,0,0,0,20.4
103,195.0,9,critical,1919,60.0,4,single,none,other,35,none,rent,1,0,1,yes,skilled employee,male,24,66,1,furniture,1,0,1,0,49.2
104,0.0,12,repaid,2445,0.0,2,married,none,other,26,none,rent,1,0,1,yes,skilled employee,male,60,6,1,car (used),0,0,1,0,27.6
105,59.0,24,critical,11938,63.0,2,single,co-applicant,other,39,none,own,2,1,2,yes,mangement self-employed,male,24,30,1,others,1,0,1,0,27.6
106,0.0,18,fully repaid this bank,6458,51.0,2,single,none,other,39,bank,own,2,1,2,yes,mangement self-employed,male,96,120,1,car (new),1,0,1,0,110.4
107,115.0,12,repaid,6078,66.0,2,single,none,other,32,none,own,1,0,1,yes,skilled employee,male,6,66,0,car (new),1,0,0,0,42.0
108,-27.0,24,repaid,7721,0.0,1,single,none,building society savings,30,none,own,1,0,1,no,skilled employee,female,6,6,1,furniture,0,0,0,0,6.0
109,135.0,14,repaid,1410,999.0,1,married,none,real estate,35,none,own,1,0,1,yes,skilled employee,male,6,120,1,business,1,0,0,0,74.4
110,71.0,6,delayed,1449,154.0,1,divorced,none,other,31,bank,own,2,0,2,yes,skilled employee,male,6,120,0,business,1,0,0,0,74.4
111,501.0,15,repaid,392,7.0,4,single,none,building society savings,23,none,rent,1,0,1,yes,skilled employee,female,96,6,1,education,0,0,1,0,42.00000000000001
112,78.0,18,repaid,6260,35.0,3,single,none,real estate,28,none,rent,1,0,1,yes,unskilled resident,male,24,30,0,car (new),1,0,1,0,27.6
113,0.0,36,critical,7855,95.0,4,single,none,real estate,25,stores,own,2,1,1,yes,skilled employee,female,6,30,1,car (new),1,0,0,0,20.4
114,-21.0,12,repaid,1680,841.0,3,married,none,real estate,35,none,own,1,0,1,yes,skilled employee,male,6,120,0,radio/tv,1,0,0,0,74.4
115,0.0,48,critical,3578,0.0,4,single,none,real estate,47,none,own,1,0,1,yes,skilled employee,male,6,120,1,radio/tv,1,0,0,0,74.4
116,-41.0,42,repaid,7174,0.0,4,single,none,other,30,none,own,1,1,1,yes,mangement self-employed,female,24,30,1,radio/tv,1,0,1,0,27.6
117,-31.0,10,critical,2132,0.0,2,single,co-applicant,real estate,27,none,rent,2,0,1,no,skilled employee,female,24,6,0,furniture,0,0,1,0,13.200000000000001
118,-28.0,33,critical,4281,670.0,1,single,none,other,23,none,own,2,1,1,yes,skilled employee,female,96,30,0,furniture,1,0,1,0,56.400000000000006
119,180.0,12,critical,2366,512.0,3,divorced,none,other,36,none,own,1,0,1,yes,mangement self-employed,male,60,66,1,car (new),1,0,1,0,63.6
120,-48.0,21,repaid,1835,9.0,3,single,none,real estate,25,none,own,2,1,1,yes,skilled employee,female,6,30,1,radio/tv,1,0,0,0,20.4
121,0.0,24,critical,3868,38.0,4,single,none,other,41,none,rent,2,0,1,yes,mangement self-employed,female,6,120,1,car (used),1,0,0,0,74.4
122,0.0,12,repaid,1768,58.0,3,single,none,real estate,24,none,rent,1,0,1,yes,unskilled resident,male,6,30,0,furniture,1,0,0,0,20.4
123,771.0,10,critical,781,56.0,4,single,none,other,63,none,for free,2,0,1,yes,skilled employee,male,96,120,1,car (new),1,0,1,0,110.4
124,62.0,18,repaid,1924,0.0,4,single,none,real estate,27,none,rent,1,1,1,yes,skilled employee,female,24,0,0,furniture,0,1,1,0,9.600000000000001
125,-1.0,12,critical,2121,49.0,4,single,none,building society savings,30,none,own,2,0,1,yes,skilled employee,male,6,30,0,car (new),1,0,0,0,20.4
126,-18.0,12,repaid,701,16.0,4,married,none,real estate,40,none,own,1,0,1,yes,unskilled resident,male,6,30,0,radio/tv,1,0,0,0,20.4
127,175.0,12,repaid,639,26.0,4,single,none,other,30,none,own,1,1,1,yes,skilled employee,male,6,30,0,repairs,1,0,0,0,20.4
128,33.0,12,critical,1860,54.0,4,single,none,other,34,none,own,2,0,1,yes,mangement self-employed,male,6,0,1,car (used),0,1,0,0,2.4000000000000004
129,-23.0,12,critical,3499,19.0,3,single,co-applicant,real estate,29,none,own,2,1,1,yes,skilled employee,female,6,30,0,car (new),1,0,0,0,20.4
130,72.0,48,repaid,8487,0.0,1,single,none,other,24,none,own,1,0,1,yes,skilled employee,female,6,66,0,car (new),1,0,0,0,42.0
131,-10.0,36,delayed,6887,33.0,4,single,none,building society savings,29,stores,own,1,1,1,yes,skilled employee,male,24,30,1,education,1,0,1,0,27.6
132,0.0,15,repaid,2708,94.0,2,single,none,building society savings,27,bank,own,2,0,1,yes,unskilled resident,male,24,6,0,furniture,0,0,1,0,13.200000000000001
133,0.0,18,repaid,1984,31.0,4,single,none,other,47,bank,for free,2,0,1,yes,skilled employee,male,96,30,0,furniture,1,0,1,0,56.400000000000006
134,0.0,60,repaid,10144,445.0,2,single,none,real estate,21,none,own,1,0,1,yes,skilled employee,female,96,30,1,radio/tv,1,0,1,0,56.400000000000006
135,0.0,12,critical,1240,0.0,4,single,none,real estate,38,none,own,2,0,1,yes,skilled employee,female,6,120,1,radio/tv,1,0,0,0,74.4
136,0.0,27,delayed,8613,18077.0,2,single,none,other,27,none,own,2,0,1,yes,skilled employee,male,6,30,0,car (used),1,0,0,0,20.4
137,43.0,12,repaid,766,909.0,4,single,none,real estate,66,none,own,1,1,1,yes,unskilled resident,male,24,30,0,radio/tv,1,0,1,0,27.6
138,113.0,15,critical,2728,0.0,4,single,guarantor,real estate,35,bank,own,3,0,1,yes,skilled employee,male,6,66,1,radio/tv,1,0,0,0,42.0
139,461.0,12,repaid,1881,8.0,2,single,none,other,44,none,rent,1,0,1,yes,unskilled resident,female,6,30,1,radio/tv,1,0,0,0,20.4
140,881.0,6,repaid,709,12048.0,2,married,none,real estate,27,none,own,1,0,1,no,unemployed non-resident,male,6,6,0,car (new),0,0,0,0,6.0
141,67.0,36,repaid,4795,51.0,4,single,none,other,30,none,own,1,0,1,yes,mangement self-employed,female,6,6,1,radio/tv,0,0,0,0,6.0
142,-39.0,27,repaid,3416,35.0,3,single,none,other,27,none,own,1,0,1,yes,mangement self-employed,male,6,30,0,radio/tv,1,0,0,0,20.4
143,-15.0,18,repaid,2462,18.0,2,single,none,other,22,none,own,1,1,1,yes,skilled employee,male,6,30,0,furniture,1,0,0,0,20.4
144,0.0,21,critical,2288,2.0,4,single,none,building society savings,23,none,own,1,0,1,yes,skilled employee,female,96,6,1,furniture,0,0,1,0,42.00000000000001
145,40.0,48,fully repaid this bank,3566,416.0,4,single,none,other,30,none,own,1,0,1,yes,skilled employee,male,6,66,0,business,1,0,0,0,42.0
146,-19.0,6,critical,860,80.0,1,single,none,other,39,none,own,2,0,1,yes,skilled employee,female,96,120,1,car (new),1,0,1,0,110.4
147,0.0,12,critical,682,184.0,4,single,none,other,51,none,own,2,0,1,yes,skilled employee,female,60,30,1,car (new),1,0,1,0,42.0
148,-29.0,36,critical,5371,80.0,3,single,guarantor,building society savings,28,none,own,2,0,1,yes,skilled employee,male,6,30,0,furniture,1,0,0,0,20.4
149,0.0,18,critical,1582,2657.0,4,single,none,other,46,none,own,2,0,1,yes,skilled employee,male,96,120,0,radio/tv,1,0,1,0,110.4
150,0.0,6,repaid,1346,385.0,2,single,none,other,42,bank,for free,1,0,2,yes,skilled employee,male,96,120,1,radio/tv,1,0,1,0,110.4
151,0.0,10,repaid,1924,5.0,1,single,none,building society savings,38,none,own,1,0,1,no,skilled employee,male,96,30,1,radio/tv,1,0,1,0,56.400000000000006
152,404.0,36,repaid,5848,85.0,4,single,none,other,24,none,own,1,0,1,yes,skilled employee,male,6,30,0,radio/tv,1,0,0,0,20.4
153,177.0,24,critical,7758,12300.0,2,single,none,other,29,none,rent,1,0,1,yes,skilled employee,female,96,120,0,car (used),1,0,1,0,110.4
154,151.0,24,delayed,6967,112.0,4,single,none,other,36,none,rent,1,0,1,yes,mangement self-employed,male,96,66,1,business,1,0,1,0,78.0
155,-45.0,12,repaid,1282,66.0,2,single,none,other,20,none,rent,1,1,1,yes,skilled employee,female,96,30,0,furniture,1,0,1,0,56.400000000000006
156,-48.0,9,critical,1288,314.0,3,single,guarantor,real estate,48,none,own,2,0,2,no,skilled employee,male,96,120,0,repairs,1,0,1,0,110.4
157,-34.0,12,fully repaid this bank,339,9.0,4,married,none,other,45,bank,own,1,0,1,yes,unskilled resident,male,6,120,0,others,1,0,0,0,74.4
158,32.0,24,repaid,3512,212.0,2,single,none,other,38,bank,own,2,0,1,yes,skilled employee,male,24,66,1,car (new),1,0,1,0,49.2
159,0.0,6,critical,1898,0.0,1,single,none,real estate,34,none,own,2,0,2,yes,unskilled resident,male,6,30,0,radio/tv,1,0,0,0,20.4
160,0.0,24,critical,2872,281.0,3,single,none,real estate,36,none,own,1,0,2,yes,skilled employee,male,96,120,1,radio/tv,1,0,1,0,110.4
161,0.0,18,critical,1055,15.0,4,single,none,building society savings,30,none,own,2,0,1,yes,skilled employee,female,6,6,0,car (new),0,0,0,0,6.0
162,0.0,15,repaid,1262,686.0,4,single,none,building society savings,36,none,own,2,0,1,yes,skilled employee,male,24,30,1,others,1,0,1,0,27.6
163,196.0,10,repaid,7308,30.0,2,single,none,other,70,bank,for free,1,0,1,yes,mangement self-employed,male,96,0,1,car (new),0,1,1,0,38.400000000000006
164,0.0,36,repaid,909,893.0,4,single,none,building society savings,36,none,own,1,0,1,yes,skilled employee,male,96,120,0,car (new),1,0,1,0,110.4
165,0.0,6,repaid,2978,958.0,1,single,none,other,32,none,own,1,0,1,yes,skilled employee,male,6,30,1,furniture,1,0,0,0,20.4
166,-11.0,18,repaid,1131,11.0,4,single,none,other,33,none,own,1,1,1,yes,skilled employee,female,6,0,0,furniture,0,1,0,0,2.4000000000000004
167,172.0,11,repaid,1577,19835.0,4,single,none,real estate,20,none,own,1,0,1,yes,skilled employee,female,6,6,0,furniture,0,0,0,0,6.0
168,0.0,24,repaid,3972,51.0,2,single,none,building society savings,25,none,rent,1,0,1,yes,skilled employee,female,96,30,1,furniture,1,0,1,0,56.400000000000006
169,78.0,24,critical,1935,90.0,4,divorced,none,real estate,31,none,own,2,1,1,yes,skilled employee,male,96,120,1,business,1,0,1,0,110.4
170,-29.0,15,fully repaid,950,38.0,4,single,none,other,33,none,rent,2,1,2,yes,skilled employee,male,60,66,0,car (new),1,0,1,0,63.6
171,0.0,12,repaid,763,89.0,4,single,none,real estate,26,none,own,1,0,1,yes,skilled employee,female,6,30,1,furniture,1,0,0,0,20.4
172,109.0,24,delayed,2064,28.0,3,single,none,building society savings,34,none,own,1,1,1,yes,mangement self-employed,female,6,0,1,furniture,0,1,0,0,2.4000000000000004
173,75.0,8,repaid,1414,88.0,4,single,guarantor,real estate,33,none,own,1,0,1,no,skilled employee,male,6,30,0,radio/tv,1,0,0,0,20.4
174,-29.0,21,delayed,3414,5.0,2,single,none,building society savings,26,none,own,2,1,1,yes,skilled employee,male,6,6,0,education,0,0,0,0,6.0
175,0.0,30,fully repaid this bank,7485,0.0,4,single,none,real estate,53,bank,own,1,1,1,yes,mangement self-employed,female,6,0,1,car (used),0,1,0,0,2.4000000000000004
176,-5.0,12,repaid,2577,14.0,2,divorced,none,other,42,none,own,1,0,1,yes,skilled employee,male,6,30,0,furniture,1,0,0,0,20.4
177,-37.0,6,critical,338,838.0,4,single,none,other,52,none,own,2,0,1,yes,skilled employee,male,96,120,0,radio/tv,1,0,1,0,110.4
178,0.0,12,repaid,1963,90.0,4,single,none,other,31,none,rent,2,0,2,yes,mangement self-employed,male,6,30,1,radio/tv,1,0,0,0,20.4
179,-49.0,21,critical,571,59.0,4,single,none,real estate,65,none,own,2,0,1,yes,skilled employee,male,96,120,0,car (new),1,0,1,0,110.4
