variable,dtype,total_count,missing_count,missing_pct,p1,p2,p3,p4,p5,p95,p96,p97,p98,p99,q1,q2,q3,q4,pct_data_in_iqr,pct_data_in_oqr,pct_within_66,pct_within_95,pct_within_98,pct_within_99,skewness,kurtosis,unique_count,unique_values,value_percentages
other_debtors,object,1000,0,0.0,,,,,,,,,,,,,,,,,,,,,,,3.0,"['none', 'guarantor', 'co-applicant']","[90.7, 5.2, 4.1]"
residence_history,object,1000,130,13.0,,,,,,,,,,,,,,,,,,,,,,,36.0,"['2 years', '8 months', '1 years', '3 years', '0 months', '4 years', '9 months', '1 months', '10 years', '3 months', '13 years', '22 years', '11 months', '2 months', '6 months', '18 years', '23 years', '24 years', '5 months', '11 years', '20 years', '8 years', '14 years', '10 months', '5 years', '4 months', '9 years', '16 years', '17 years', '15 years', '7 years', '12 years', '21 years', '7 months', '19 years', '6 years']","[4.94, 4.37, 4.25, 4.14, 3.91, 3.79, 3.33, 3.22, 3.1, 2.99, 2.87, 2.87, 2.87, 2.76, 2.76, 2.76, 2.64, 2.64, 2.53, 2.53, 2.41, 2.41, 2.3, 2.3, 2.3, 2.3, 2.18, 2.18, 2.18, 2.18, 2.18, 2.18, 2.07, 2.07, 1.72, 1.72]"
property,object,1000,0,0.0,,,,,,,,,,,,,,,,,,,,,,,4.0,"['other', 'real estate', 'building society savings', 'unknown/none']","[33.2, 28.2, 23.2, 15.4]"
age,int64,1000,0,0.0,20.0,21.0,21.97,22.0,22.0,60.0,61.0,63.0,65.0,67.01,27.0,33.0,42.0,75.0,52.5,2.3,68.3,94.6,96.4,97.7,1.0192,0.5868,,,
installment_plan,object,1000,0,0.0,,,,,,,,,,,,,,,,,,,,,,,3.0,"['none', 'bank', 'stores']","[81.4, 13.9, 4.7]"
housing,object,1000,0,0.0,,,,,,,,,,,,,,,,,,,,,,,3.0,"['own', 'rent', 'for free']","[71.3, 17.9, 10.8]"
existing_credits,int64,1000,0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,4.0,96.6,0.6,63.3,96.6,96.6,96.6,1.2707,1.5904,,,
default,int64,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,70.0,100.0,100.0,100.0,0.8729,-1.2381,,,
dependents,int64,1000,0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,84.5,15.5,84.5,84.5,84.5,100.0,1.9066,1.635,,,
telephone,float64,1000,596,59.6,2340042131.98,2340203158.58,2340227621.92,2340367901.08,2340457862.25,2349393092.3,2349532308.4,2349634578.53,2349749669.28,2349922902.6,2342211185.0,2344804428.5,2347730994.25,2349994320.0,50.0,0.0,53.9604,100.0,100.0,100.0,0.0196,-1.3027,,,
foreign_worker,object,1000,0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,"['yes', 'no']","[96.3, 3.7]"
job,object,1000,0,0.0,,,,,,,,,,,,,,,,,,,,,,,4.0,"['skilled employee', 'unskilled resident', 'mangement self-employed', 'unemployed non-resident']","[63.0, 20.0, 14.8, 2.2]"
gender,object,1000,0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,"['male', 'female']","[69.0, 31.0]"
